Altium Designer Pick and Place Locations
C:\Github\BHPPS\EEDev\EEDev-MAPS_SENSOR_HEAD_BOARD_PR\Gerber\Pick and Place\DE842170047.txt

========================================================================================================================
File Design Information:

Date:       07/03/23
Time:       10:39
Revision:   e5e618bfd1b4f4aaec82797c8238ab68d5de8849
Variant:    PCA
Units used: mil

Designator Comment         Layer       Footprint   Center-X(mil) Center-Y(mil) Rotation Description                                        
C37        KK/96159/2666   TopLayer    C0603       1271.189      399.890       90       CAPACITOR_4u7F_10%_10V_0603                        
C36        KK/96159/4501   TopLayer    C0603       1454.324      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C35        KK/96159/4501   TopLayer    C0603       1519.726      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C34        KK/96159/4501   TopLayer    C0603       1585.127      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C33        KK/96159/4501   TopLayer    C0603       1258.119      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C32        KK/96159/4501   TopLayer    C0603       1323.521      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C31        KK/96159/4501   TopLayer    C0603       1388.922      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C30        KK/96159/3634   BottomLayer C0603       1469.550      262.094       90       "CAPACITOR CERAMIC 0603 16V 10% X5R 2u2"           
C29        KK/96159/3634   BottomLayer C0603       1207.944      262.094       90       "CAPACITOR CERAMIC 0603 16V 10% X5R 2u2"           
C28        KK/96159/4501   BottomLayer C0603       1142.542      262.094       90       CAPACITOR_100nF_+10%_25V_603                       
C27        KK/96159/4501   BottomLayer C0603       1077.140      262.094       90       CAPACITOR_100nF_+10%_25V_603                       
C26        KK/96159/0407   BottomLayer C0603       1404.148      262.094       90       "CAPACITOR CER 0603 11n5F 10% 25V X5R"             
C25        KK/96159/4501   BottomLayer C0603       1338.747      262.094       90       CAPACITOR_100nF_+10%_25V_603                       
C24        KK/96159/0088   BottomLayer C0603       1273.345      262.094       90       "CAPACITOR CERAMIC 0603 50V 5% NPO 8pF"            
C23        KK/96159/0088   TopLayer    C0603       1192.717      951.071       90       "CAPACITOR CERAMIC 0603 50V 5% NPO 8pF"            
C22        KK/96159/3701   TopLayer    C0603       1532.796      399.890       90       CAPACITOR_10uF_10%_10V_0603                        
C21        KK/96159/4501   TopLayer    C0603       1598.197      399.890       90       CAPACITOR_100nF_+10%_25V_603                       
C20        KK/96159/4501   TopLayer    C0603       1663.599      399.890       90       CAPACITOR_100nF_+10%_25V_603                       
C19        KK/96159/4501   TopLayer    C0603       1336.591      399.890       90       CAPACITOR_100nF_+10%_25V_603                       
C18        KK/96159/3701   TopLayer    C0603       1401.993      399.890       90       CAPACITOR_10uF_10%_10V_0603                        
C17        KK/96159/4501   TopLayer    C0603       1467.394      399.890       90       CAPACITOR_100nF_+10%_25V_603                       
C16        KK/96159/0325   TopLayer    C0603       1729.001      399.890       90       "CAPACITOR CER 0603 1n8F 10% 10V X5R"              
C15        KK/96159/4501   TopLayer    C0603       996.513       951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C14        KK/96159/0243   TopLayer    C0603       1061.914      951.071       90       "CAPACITOR CER 0603 270pF 10% 50V X5R"             
C13        KK/96159/2666   TopLayer    C0603       1127.316      951.071       90       CAPACITOR_4u7F_10%_10V_0603                        
C12        KK/96159/4501   TopLayer    C0603       1794.402      399.890       90       CAPACITOR_100nF_+10%_25V_603                       
C11        KK/96159/0401   TopLayer    C0603       865.710       951.071       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C10        KK/96159/3634   TopLayer    C0603       931.111       951.071       90       "CAPACITOR CERAMIC 0603 16V 10% X5R 2u2"           
C9         KK/96159/0401   BottomLayer C0603       1504.604      167.165       180      "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
